项目名称,负责人工号,承担单位,开始时间,立项年度,项目结束时间,项目子类,甲方单位,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
智能变电站二次设备智能诊断与一键式安措技术研究（课题2：智能变电站二次安措规则研究）,5231028,机械与电气工程学院,2018-08-01,2018,2019-12-31,技术开发,国网四川省电力公司,43.2405,43.2405,41.981068,财务通过，立项完成,直接立项,进行中
声波增敏光纤与光缆,7060729,信息与通信工程学院,2018-08-01,2018,2020-08-31,校企联合科研平台,江苏中天科技股份有限公司,150,150,145.631068,财务通过，立项完成,直接立项,进行中
声波增敏光纤与光缆,7060729,信息与通信工程学院,2018-08-01,2018,2020-08-31,校企联合科研平台,江苏中天科技股份有限公司,50,50,48.54369,财务通过，立项完成,直接立项,进行中
光纤温度&amp;声波综合传感系统,5230947,信息与通信工程学院,2018-08-01,2018,2020-12-31,技术开发,无锡圆正物联科技有限公司,100,30,29.126214,财务通过，立项完成,直接立项,进行中
自然语言处理,7160670,计算机科学与工程学院（网络空间安全学院）,2018-08-01,2018,2021-07-31,技术开发,Nuance Inc,160,27.414516,26.616035,财务通过，立项完成,直接立项,进行中
基于数字波束形成的多目标测向算法设计,5224158,信息与通信工程学院,2018-07-31,2018,2019-10-01,技术开发,中国电子科技集团公司第三十研究所,18,18,18,财务通过，立项完成,直接立项,进行中
XXX协同探测技术研究,7150594,信息与通信工程学院,2018-07-31,2018,2019-12-31,技术开发,北京航天自动控制研究所,40,40,40,财务通过，立项完成,直接立项,进行中
电力设备数字影像AI应用平台,5222094,数学科学学院,2018-07-31,2018,2019-07-31,技术开发,四川赛康智能科技股份有限公司,30,30,30,财务通过，立项完成,直接立项,进行中
XXX数据融合技术,7160602,信息与通信工程学院,2018-07-30,2018,2019-07-30,技术开发,国防科技大学,40,12,12,财务通过，立项完成,直接立项,进行中
羽毛球机器人研发,5225147,机械与电气工程学院,2018-07-30,2018,2018-08-29,技术开发,柳州卓智孵化器有限公司,35,35,33.980583,财务通过，立项完成,直接立项,进行中
“智慧天网”建设方案设计合同,8210649,信息与软件工程学院（示范性软件学院）,2018-07-30,2018,2020-07-29,技术开发,宜宾市公安局,4.8,4.8,4.660194,财务通过，立项完成,直接立项,进行中
单芯电缆高速通讯适应性研究,5225105,信息与通信工程学院,2018-07-30,2018,2019-03-31,技术开发,中海油服务股份有限公司油田技术事业部油田技术研究院,49.7,49.7,48.61432,财务通过，立项完成,直接立项,进行中
基于毫米波雷达的目标微动特性,5224484,信息与通信工程学院,2018-07-30,2018,2019-07-31,技术开发,华为技术有限公司,33.6295,33.6295,32.65,财务通过，立项完成,直接立项,进行中
射频综合传感器作战建模仿真技术研究,7080731,电子科学与工程学院（示范性微电子学院）,2018-07-25,2018,2019-06-30,技术开发,中国航空工业集团公司雷华电子技术研究所,30,30,30,财务通过，立项完成,直接立项,进行中
可重构材料相控阵天线-基于可调材料,7160597,信息与通信工程学院,2018-07-25,2018,2019-08-01,技术开发,华为技术有限公司,45,20.88,18,财务通过，立项完成,直接立项,进行中
机器学习用于电子设计技术合作项目,7160699,通信抗干扰技术国家级重点实验室,2018-07-25,2018,2019-04-25,技术开发,华为技术有限公司,20.394,20.394,19.8,财务通过，立项完成,直接立项,进行中
政府网站安全保障策略研究课题项目（B包-安全技术类）,7181894,信息与软件工程学院（示范性软件学院）,2018-07-25,2018,2018-09-20,技术开发,成都市大数据中心,4,4,3.883495,财务通过，立项完成,直接立项,进行中
IGBT光学试验服务合同,7172737,光电科学与工程学院,2018-07-25,2018,2019-07-31,技术开发,中国科学院微电子研究所,4,4,3.883495,财务通过，立项完成,直接立项,进行中
宽带数字多波束形成算法（FPGA实现部分）,7172797,信息与通信工程学院,2018-07-23,2018,2020-07-23,技术开发,中国电子科技集团公司第五十四研究所,18,5.4,5.4,财务通过，立项完成,直接立项,进行中
高强高韧聚芳醚腈树脂设计与合成研究,7160651,材料与能源学院,2018-07-22,2018,2019-07-31,技术开发,中国工程物理研究院化工材料研究所,44,44,42.718447,财务通过，立项完成,直接立项,进行中
微波极化系统,5230757,电子科学与工程学院（示范性微电子学院）,2018-07-20,2018,2020-07-20,技术开发,核工业西南物理研究院,18,18,17.475718,财务通过，立项完成,直接立项,进行中
成华区社区发展治理创新专题调研,5224786,公共管理学院,2018-07-20,2018,2018-07-20,咨询/外币结算,中国人民政治协商会议成都市成华区委员会办公室,20,20,19.417476,财务通过，立项完成,直接立项,进行中
500kV资阳-东坡-瀑布沟线路电磁暂态技术研究,7080677,自动化工程学院,2018-07-20,2018,2019-01-31,技术开发,北京科东电力控制系统有限责任公司,9,9,8.737864,财务通过，立项完成,直接立项,进行中
500kV雅安加强送出工程电磁暂态技术研究,7080677,自动化工程学院,2018-07-20,2018,2018-12-31,技术开发,北京科东电力控制系统有限责任公司,19,19,18.446602,财务通过，立项完成,直接立项,进行中
信息系统总线网络数据传输在线测试技术及其测试装置研究,5221302,光电科学与工程学院,2018-07-19,2018,2018-09-30,技术开发,国营第七九六厂,22,0,0,学校通过,直接立项,进行中
线损智能建模及积分电量,7160741,机械与电气工程学院,2018-07-19,2018,2020-12-31,技术开发,贵州广思信息网络有限公司,69.85,62.865,61.03398,财务通过，立项完成,直接立项,进行中
电磁涡旋散射特性及地物作用机理研究技术开发合同,5230773,电子科学与工程学院（示范性微电子学院）,2018-07-18,2018,2018-10-31,技术开发,中国科学院电子学研究所,30,20,19.417476,财务通过，立项完成,直接立项,进行中
微波对烟草加热的仿真技术研究,5230950,电子科学与工程学院（示范性微电子学院）,2018-07-16,2018,2018-12-30,技术开发,北京航天雷特机电工程有限公司,10,10,9.708738,财务通过，立项完成,直接立项,进行中
热像仪性能检测技术开发合同,7080620,资源与环境学院,2018-07-15,2018,2019-07-15,技术开发,北京中星时代科技有限公司,10,10,9.708738,财务通过，立项完成,直接立项,进行中
AVS视频编码标准技术合作项目,7110830,计算机科学与工程学院（网络空间安全学院）,2018-07-15,2018,2019-07-31,技术开发,OPPO广东移动通信有限公司,40,40,40,财务通过，立项完成,直接立项,进行中
智能视频监控系统设计开发,5230681,信息与软件工程学院（示范性软件学院）,2018-07-13,2018,2018-12-31,技术开发,四川赛为科技有限公司,15,15,14.563107,财务通过，立项完成,直接立项,进行中
光纤声波传感系统,5230947,信息与通信工程学院,2018-07-13,2018,2018-10-31,技术开发,北京众成探知信息技术有限公司,7,7,7,财务通过，立项完成,直接立项,进行中
多路放大组件及连接组件研制,6186852,电子科学与工程学院（示范性微电子学院）,2018-07-11,2018,2019-12-30,技术开发,西安空间无线电技术研究所,115,115,111.650485,财务通过，立项完成,直接立项,进行中
电子科技大学—保山亚隆信新能源技术联合研究中心,7080627,材料与能源学院,2018-07-11,2018,2022-06-30,校企联合科研平台,保山亚隆信投资管理有限责任公司,50,50,50,财务通过，立项完成,直接立项,进行中
新能源汽车关键材料、器件与系统 集成技术（二期）,7080627,材料与能源学院,2018-07-11,2018,2022-06-30,校企联合科研平台,保山亚隆信投资管理有限责任公司,800,0,0,学校通过,直接立项,进行中
新能源汽车关键材料、器件与系统集成技术（一期）,7080627,材料与能源学院,2018-07-11,2018,2020-12-31,校企联合科研平台,保山亚隆信投资管理有限责任公司,1200,250,250,财务通过，立项完成,直接立项,进行中
分布式相控阵雷达优化布阵与探测性能研究,7140627,信息与通信工程学院,2018-07-10,2018,2019-12-30,技术开发,北京控制与电子技术研究所,68,68,68,财务通过，立项完成,直接立项,进行中
基于穿墙雷达核心部件的研发,8190641,电子科学与工程学院（示范性微电子学院）,2018-07-10,2018,2018-09-30,技术开发,杭州市公安局,3,3,2.912621,财务通过，立项完成,直接立项,进行中
滤波器LST21,5230599,自动化工程学院,2018-07-10,2018,2018-10-24,技术开发,中国电子科技集团公司第十四研究所,4.05,4.05,3.584071,财务通过，立项完成,直接立项,进行中
基于GF-6卫星数据城镇群提取精度验证及全国城镇群一张图专题产品制作,7080739,资源与环境学院,2018-07-10,2018,2019-12-31,技术开发,中国科学院遥感与数字地球研究所,18,18,17.475728,财务通过，立项完成,直接立项,进行中
穿戴传感器数据传输与处理系统的研制,5230608,信息与通信工程学院,2018-07-10,2018,2020-06-30,技术开发,四川尚健创唯医疗设备有限责任公司,28,19.6,19.029126,财务通过，立项完成,直接立项,进行中
基于GF-6卫星数据全国城镇群提取精度验证,7080739,资源与环境学院,2018-07-10,2018,2020-07-10,技术开发,中国科学院遥感与数字地球研究所,18,0,0,学校通过,直接立项,进行中
基于红外/可见光图像的目标检测、识别与跟踪技术,7140602,信息与通信工程学院,2018-07-10,2018,2020-12-30,技术开发,四川九州电器集团有限责任公司,100,100,100,财务通过，立项完成,直接立项,进行中
汽车生物验证进入系统算法,5224288,信息与通信工程学院,2018-07-10,2018,2019-12-31,技术开发,广州优创电子有限公司,50,10,10,财务通过，立项完成,直接立项,进行中
关于共享广东省科技进步奖奖金的协议,5224619,材料与能源学院,2018-07-10,2018,2018-12-31,咨询/外币结算,广东光华科技股份有限公司,10,0,0,学校通过,直接立项,进行中
专利信息查询及核定技术开发,5230597,计算机科学与工程学院（网络空间安全学院）,2018-07-10,2018,2019-06-30,技术开发,宁波市新世纪科技评估中心,2,0,0,学校通过,直接立项,进行中
基于AMR磁阻芯片的液位传感器结构设计与处理电路研究,5222009,电子科学与工程学院（示范性微电子学院）,2018-07-10,2018,2020-07-10,技术开发,贵州雅光电子科技股份有限公司,65,65,65,财务通过，立项完成,直接立项,进行中
EOS平台智能合约自动形式化验证工具链及标准 (一期),5231022,信息与软件工程学院（示范性软件学院）,2018-07-09,2018,2020-06-30,技术开发,重庆宇寰科技有限公司,60,48,46.601941,财务通过，立项完成,直接立项,已结题
固定式多元信息融合探查定位计算及试验研究,7140667,机械与电气工程学院,2018-07-09,2018,2019-08-31,技术开发,中国船舶重工集团公司第七一九研究所,108,75.6,73.398059,财务通过，立项完成,直接立项,进行中
四川省《信息技术》服务合同,5230933,信息与软件工程学院（示范性软件学院）,2018-07-09,2018,2019-07-31,技术开发,四川省教育科学研究院,21,0,0,学校通过,直接立项,进行中
智能微信订阅号服务系统设计与开发,7080623,计算机科学与工程学院（网络空间安全学院）,2018-07-09,2018,2020-08-31,技术开发,成都仁创新维科技有限公司,60,0,0,学校通过,直接立项,进行中
大学生脑健康数据联合采集与精细分析,7172740,生命科学与技术学院,2018-07-09,2018,2020-07-09,技术开发,四川骏逸富顿科技有限公司,15,15,14.563107,财务通过，立项完成,直接立项,已结题
基于数据挖掘技术的高血压个体化给药方案研究,5231000,生命科学与技术学院,2018-07-06,2018,2020-12-31,技术开发,四川大学,4,4,4,财务通过，立项完成,直接立项,进行中
目标回波及干扰信号模拟综合处理系统,5221263,信息与通信工程学院,2018-07-05,2018,2021-10-31,技术开发,中国电子科技集团公司第二十七研究所,226,226,226,财务通过，立项完成,直接立项,进行中
某模型目标特性分析,5224980,电子科学与工程学院（示范性微电子学院）,2018-07-05,2018,2018-12-31,技术开发,中国船舶重工集团公司第七一九研究所,3.6,3.6,3.495146,财务通过，立项完成,直接立项,进行中
民机航电系统模型设计研究,5225111,航空航天学院,2018-07-03,2018,2018-12-31,技术开发,中电科航空电子有限公司,39.6,39.6,38.446602,财务通过，立项完成,直接立项,进行中
人工智能的关键技术及应用研究,7140636,信息与软件工程学院（示范性软件学院）,2018-07-03,2018,2022-07-02,技术开发,以心科技成都有限公司,160,20,19.417476,财务通过，立项完成,直接立项,进行中
CS3陶瓷粉体填料,5220723,电子科学与工程学院（示范性微电子学院）,2018-07-03,2018,2020-12-31,技术开发,广东汕头超声电子股份有限公司,19.25,19.25,16.815113,财务通过，立项完成,直接立项,进行中
施工一体化管理暨综合防护系统施工配合防护软件研发,5223993,信息与软件工程学院（示范性软件学院）,2018-07-02,2018,2020-03-31,技术开发,中国铁路成都局集团有限公司科学技术研究所,118,112.1,108.834951,财务通过，立项完成,直接立项,进行中
云平台管理软件-网络管理模块,5224986,计算机科学与工程学院（网络空间安全学院）,2018-07-02,2018,2018-12-31,技术开发,成都新橙北斗智联有限公司,80,80,77.669903,财务通过，立项完成,直接立项,进行中
自主空中加油跟踪运动模拟平台研制,5224626,机械与电气工程学院,2018-07-02,2018,2019-06-30,技术开发,中国航空工业集团公司成都飞机设计研究所,40,28,27.184466,财务通过，立项完成,直接立项,进行中
多协议数字对讲机监听技术研究,7110595,信息与通信工程学院,2018-07-02,2018,2020-01-15,技术开发,成都大公博创信息技术有限公司,10,10,10,财务通过，立项完成,直接立项,进行中
《信息技术》教材编写技术服务合同,8220668,计算机科学与工程学院（网络空间安全学院）,2018-07-01,2018,2020-12-31,技术开发,四川教育出版社有限公司,21,0,0,学校通过,直接立项,进行中
高精度光学量化编码处理技术研究,7080752,光电科学与工程学院,2018-07-01,2018,2019-06-30,技术开发,西安空间无线电技术研究所,26,0,0,财务通过，立项完成,直接立项,进行中
面向新型城镇的能源互联网关键技术及应用,7172801,机械与电气工程学院,2018-07-01,2018,2021-06-30,技术开发,国网天津市电力公司,115,103,100,财务通过，立项完成,直接立项,进行中
2018年四川省科技创新苗子项目协议书,7110743,校团委（创新创业学院）,2018-07-01,2018,2019-07-01,校企联合科研平台,四川省计算机研究院,22,22,22,财务通过，立项完成,直接立项,进行中
未来信息技术发展对军事信息体系影响分析,7090716,航空航天学院,2018-07-01,2018,2019-12-31,技术开发,航空工业信息中心,15,13.5,13.106796,财务通过，立项完成,直接立项,进行中
分布式光伏与梯级小水电互补联合发电技术研究及应用示范,7190629,机械与电气工程学院,2018-07-01,2018,2021-06-30,技术开发,国网四川省电力公司电力科学研究院,112.4,101.16,98.213592,财务通过，立项完成,直接立项,进行中
隐私保护前沿技术的研究与应用,5223506,网络空间安全研究中心,2018-07-01,2018,2020-07-01,技术开发,百度时代网络技术（北京）有限公司,10,10,9.708738,财务通过，立项完成,直接立项,进行中
高阶QAM 信号实时解调技术,5224317,通信抗干扰技术国家级重点实验室,2018-07-01,2018,2019-03-31,技术开发,中国电子科技集团公司第十研究所,23,23,22.330097,财务通过，立项完成,直接立项,已结题
FS型IGBT技术开发,7190600,电子科学与工程学院（示范性微电子学院）,2018-07-01,2018,2019-10-31,技术开发,西安卫光科技有限公司,52,52,50.485437,财务通过，立项完成,直接立项,进行中
密集通道时间交织ADC动态非线性失配误差校正算法研究,7172697,电子科学与工程学院（示范性微电子学院）,2018-07-01,2018,2020-06-30,技术开发,中国电子科技集团公司第二十四研究所,50,50,48.54369,财务通过，立项完成,直接立项,进行中
离子束表面处理工艺研究-熔石英元件离子束刻蚀全口径修复工艺,5223596,物理学院,2018-07-01,2018,2018-10-31,技术开发,中国工程物理研究院激光聚变研究中心,13.8,13.8,13.8,财务通过，立项完成,直接立项,进行中
空军装备修理工厂质量能力评价体系软件,7080759,航空航天学院,2018-07-01,2018,2019-05-31,技术开发,国营川西机器厂,16.8,10,10,财务通过，立项完成,直接立项,进行中
基于模糊聚类的神经机器翻译算法系统,7100778,机械与电气工程学院,2018-07-01,2018,2019-06-30,技术开发,四川语言桥信息技术有限公司,60,30,30,财务通过，立项完成,直接立项,进行中
华润微电子控股有限公司与电子科技大学关于建立功率半导体联合创新中心的合作协议,5224911,电子科学与工程学院（示范性微电子学院）,2018-07-01,2018,2023-06-30,技术开发,华润微电子控股有限公司,800,375,364.077668,财务通过，立项完成,直接立项,进行中
高可靠SOI工艺模型技术开发,7150652,光电科学与工程学院,2018-07-01,2018,2019-12-31,技术开发,中国科学院上海微系统与信息技术研究所,40,40,40,财务通过，立项完成,直接立项,进行中
智能电网信息系统运行信息诊断和关联规则推演技术研究,7110798,计算机科学与工程学院（网络空间安全学院）,2018-07-01,2018,2019-12-31,技术开发,国网四川省电力公司信息通信公司,77,74.820754,72.641509,财务通过，立项完成,直接立项,进行中
调控在线业务技术支持,7160741,机械与电气工程学院,2018-07-01,2018,2018-12-31,技术开发,国网四川省电力公司电力科学研究院,47,45.669811,44.339622,财务通过，立项完成,直接立项,进行中
四川省中小学《信息技术》教材编写及网络教育平台建设,5230845,信息与软件工程学院（示范性软件学院）,2018-07-01,2018,2019-06-30,技术开发,华创加速科技成都有限公司,19,9.5,9.5,财务通过，立项完成,直接立项,进行中
智能双足企鹅机器人,7110815,自动化工程学院,2018-07-01,2018,2019-09-01,技术开发,深圳市腾讯计算机系统有限公司,100,70,67.961165,财务通过，立项完成,直接立项,进行中
智能家庭设备媒体人工智能关键技术研究,9190623,信息与通信工程学院,2018-07-01,2018,2021-08-01,技术开发,四川奇迹云科技有限公司,100,0,0,学校通过,直接立项,进行中
芯片级高压隔离器件及应用方案,7130690,电子科学与工程学院（示范性微电子学院）,2018-07-01,2018,2020-06-30,技术开发,重庆线易电子科技有限责任公司,5,3.5,3.398058,财务通过，立项完成,直接立项,进行中
LTCC-K20陶瓷材料委托技术开发合同,7100730,电子科学与工程学院（示范性微电子学院）,2018-07-01,2018,2021-12-31,技术开发,深圳麦捷微电子科技股份有限公司,150,0,0,学校通过,直接立项,进行中
某飞行器飞行控制设计研究,7100776,自动化工程学院,2018-06-30,2018,2019-06-30,技术开发,海鹰航空通用装备有限责任公司,30,9,8.737864,财务通过，立项完成,直接立项,进行中
机载监视数据融合及ADS-B应用仿真,5230907,信息与通信工程学院,2018-06-30,2018,2019-12-31,技术开发,中国航空工业集团公司雷华电子技术研究所,40,40,40,财务通过，立项完成,直接立项,已结题
板材性能验证分析研究,8200598,材料与能源学院,2018-06-30,2018,2019-12-31,技术开发,中国电子科技集团公司第三十八研究所,32,32,31.067962,财务通过，立项完成,直接立项,进行中
消防无人机集群系统研发-子项目1,7090796,通信抗干扰技术国家级重点实验室,2018-06-30,2018,2019-06-30,技术开发,天府新区西南交通大学研究院,16,16,16,财务通过，立项完成,直接立项,进行中
定位算法黑盒化技术研究二期,7150699,资源与环境学院,2018-06-30,2018,2019-03-30,技术开发,华为技术有限公司,51.5,51.5,50,财务通过，立项完成,直接立项,进行中
高速铁路地质勘探远程无线视频监控管理系统研究,7110775,计算机科学与工程学院（网络空间安全学院）,2018-06-30,2018,2019-06-30,技术开发,中铁二院工程集团有限责任公司,30,30,29.126213,财务通过，立项完成,直接立项,进行中
广西云计算与大数据协同创新中心立项课题合同书,7100648,计算机科学与工程学院（网络空间安全学院）,2018-06-30,2018,2018-06-30,技术开发,,5,0,0,学校通过,直接立项,进行中
基于生成网络的数据增强技术研究,7150598,计算机科学与工程学院（网络空间安全学院）,2018-06-29,2018,2019-05-31,技术开发,中国人民解放军总参谋部第五十七研究所,31.5,9.45,9.45,财务通过，立项完成,直接立项,进行中
无线无源阻抗型传感器标签研发,7060635,信息与通信工程学院,2018-06-29,2018,2018-11-30,技术开发,上海交通大学,42,42,41.650486,财务通过，立项完成,直接立项,进行中
机场场面智能化运行系统中全景增强监视技术指标和功能测试的协作协议书,7130679,信息与通信工程学院,2018-06-28,2018,2018-07-31,技术开发,中国民用航空总局第二研究所,10,10,9.708738,财务通过，立项完成,直接立项,进行中
页岩气示范区甜点特征参数综合反演方法实验及示范区甜点特征参数综合反演方法模块研制及实际数据应用,7182718,资源与环境学院,2018-06-26,2018,2018-12-31,技术开发,中国石油集团东方地球物理勘探有限责任公司,72,72.96,70.834951,财务通过，立项完成,直接立项,进行中
单刀双掷开关,5223916,物理学院,2018-06-25,2018,2019-06-30,技术开发,石家庄市天研电子器材有限公司,7.5,7.5,6.465517,财务通过，立项完成,直接立项,进行中
M743002滤光片及M151259防护片的研制,5224399,电子科学与工程学院（示范性微电子学院）,2018-06-24,2018,2019-06-25,技术开发,兰州万里航空机电有限责任公司,10.9,10.9,10.582524,财务通过，立项完成,直接立项,已结题
功率半导体芯片研发,7100624,电子科学与工程学院（示范性微电子学院）,2018-06-23,2018,2018-11-30,技术开发,中国工程物理研究院流体物理研究所,5,0,0,学校通过,直接立项,进行中
复杂电磁环境下XXSAR成像性能影响研究,7090818,信息与通信工程学院,2018-06-22,2018,2019-04-24,技术开发,北京机电工程研究所,28,28,28,财务通过，立项完成,直接立项,进行中
鼎安华设备管理系统项目技术开发外包合同,8176904,信息与软件工程学院（示范性软件学院）,2018-06-22,2018,2019-06-30,技术开发,成都鼎安华智慧物联网股份有限公司,14,11.2,10.873787,财务通过，立项完成,直接立项,进行中
有机动力电池关键材料研究,7060738,材料与能源学院,2018-06-22,2018,2022-06-30,技术开发,欧格尼材料科技江苏有限公司,280,70,70,财务通过，立项完成,直接立项,进行中
一种强电磁脉冲防护装置的知识产权咨询服务,5231090,电子科学与工程学院（示范性微电子学院）,2018-06-20,2018,2018-08-22,咨询/外币结算,四川中光防雷科技股份有限公司,0.96,0.96,0.932039,财务通过，立项完成,直接立项,进行中
一种高压保护装置的知识产权咨询服务,5231090,电子科学与工程学院（示范性微电子学院）,2018-06-20,2018,2018-09-30,咨询/外币结算,成都雷电微力科技有限公司,0.96,0.96,0.932039,财务通过，立项完成,直接立项,进行中
专用信号发生器,5230704,信息与通信工程学院,2018-06-20,2018,2018-12-31,技术开发,四川特伦特科技股份有限公司,12,12,11.650486,财务通过，立项完成,直接立项,进行中
燃油测量控制系统半实物仿真试验平台,7100689,信息与通信工程学院,2018-06-20,2018,2020-06-19,技术开发,四川泛华航空仪表电器有限公司,1196,777.4,777.4,财务通过，立项完成,直接立项,进行中
基于扫频源光学相干层析技术的探针成像系统开发的技术咨询,7070636,光电科学与工程学院,2018-06-20,2018,2020-06-20,技术开发,武汉艾欧医疗科技有限公司,10,7,7,财务通过，立项完成,直接立项,进行中
1.3微米扫频源光学相干层析系统的研发,7070636,光电科学与工程学院,2018-06-20,2018,2019-06-20,技术开发,湖北省肿瘤医院,15,0,0,学校通过,直接立项,进行中
阿坝智慧牧场技术服务合同,5231049,资源与环境学院,2018-06-18,2018,2021-12-31,技术开发,成都亚讯星科科技股份有限公司,15,15,14.563106,财务通过，立项完成,直接立项,进行中
复杂目标回波与干扰信号数字产生系统,5230911,信息与通信工程学院,2018-06-15,2018,2020-06-30,技术开发,中国电子科技集团公司第二十七研究所,230,230,230,财务通过，立项完成,直接立项,进行中
中医学院中医经典理论及临床数据化协作研究基础平台及系统插件采购项目,7070674,信息与软件工程学院（示范性软件学院）,2018-06-15,2018,2021-09-10,技术开发,北京中医药大学,60,60,58.252427,财务通过，立项完成,直接立项,进行中
成都大学ESI分析（2008-2018）,8150643,图书馆,2018-06-15,2018,2018-09-30,咨询/外币结算,成都大学,3.18,3.18,3.087379,财务通过，立项完成,直接立项,进行中
四川省网络文化市场年度报告（2018年版）,5224467,数字文化与传媒研究中心,2018-06-14,2018,2018-10-25,咨询/外币结算,四川省文化厅,8,8,7.76699,财务通过，立项完成,直接立项,进行中
屏山县全媒体中心综合办公楼基础设施及工艺系统设计,5230877,自动化工程学院,2018-06-13,2018,2018-12-31,技术开发,屏山县全媒体中心,8,3.2,3.106796,财务通过，立项完成,直接立项,进行中
干旱-半干旱区地下水与生态重点实验室开放基金合同书,7150656,资源与环境学院,2018-06-13,2018,2018-12-31,技术开发,中国地质调查局西安地质调查中心,3,3,2.912621,财务通过，立项完成,直接立项,进行中
“农业共营制“实践推广的影响因素研究课题,7090697,经济与管理学院,2018-06-13,2018,2018-12-15,咨询/外币结算,中共崇州市委政策研究室,25,25,24.271844,财务通过，立项完成,直接立项,进行中
电磁频谱测绘技术研究与服务,7080618,计算机科学与工程学院（网络空间安全学院）,2018-06-12,2018,2019-12-01,技术开发,中国电子科技集团公司第三十研究所,25,12.5,12.5,财务通过，立项完成,直接立项,进行中
液晶透镜技术合作开发合同,7100811,光电科学与工程学院,2018-06-11,2018,2018-11-30,技术开发,成都京东方光电科技有限公司,25.7,25.7,24.951456,财务通过，立项完成,直接立项,进行中
基于区块链的政府诚信档案平台及构建技术研究,5230639,网络空间安全研究中心,2018-06-11,2018,2019-12-31,技术开发,中电科大数据研究院有限公司,59.4,35.64,35.64,财务通过，立项完成,直接立项,进行中
角膜塑形镜人工智能辅助验配算法研究,7130687,电子科学与工程学院（示范性微电子学院）,2018-06-10,2018,2019-06-11,技术开发,湖南爱尔眼视光研究所,26,20,19.417476,财务通过，立项完成,直接立项,进行中
短波话音信号分集接收技术,5223953,通信抗干扰技术国家级重点实验室,2018-06-08,2018,2018-12-31,技术开发,中国人民解放军总参谋部第五十七研究所器材装备处,10,0,0,学校通过,直接立项,进行中
碳化硅肖特基二极管合作开发合同,5230818,电子科学与工程学院（示范性微电子学院）,2018-06-08,2018,2020-04-30,技术开发,中国振华集团永光电子有限公司（国营第八七三厂）,70,70,67.961165,财务通过，立项完成,直接立项,进行中
应急广播村村响运营支撑服务软件研发,5230849,信息与通信工程学院,2018-06-07,2018,2018-08-31,技术开发,四川省广播电视科研所,5.25,5.25,4.95283,财务通过，立项完成,直接立项,进行中
广播设备网络管理平台软件研发,5230849,信息与通信工程学院,2018-06-07,2018,2018-08-31,技术开发,四川省广播电视科研所,9,9,8.490566,财务通过，立项完成,直接立项,进行中
TTNT信号侦察技术研究,5225207,信息与通信工程学院,2018-06-05,2018,2019-12-31,技术开发,中国电子科技集团公司第十研究所,65,19.5,19.5,财务通过，立项完成,直接立项,进行中
金属薄膜等离子体电磁辐射测试诊断技术研究,7140691,材料与能源学院,2018-06-05,2018,2018-12-20,技术开发,中国工程物理研究院化工材料研究所,8.87,8.87,8.739806,财务通过，立项完成,直接立项,进行中
靶场试验环境构建与流程设计方法研究,8130645,信息与通信工程学院,2018-06-04,2018,2018-12-30,技术开发,北京航天长征飞行器研究所,20,20,19.417476,财务通过，立项完成,直接立项,进行中
基于视频的车辆、行人与车道线检测技术支持服务合同,7171725,自动化工程学院,2018-06-04,2018,2020-01-04,技术开发,北京博光润泽科技有限公司,1.1,1.1,1.067961,财务通过，立项完成,直接立项,进行中
一种XXX技术的国防知识产权咨询服务,5231090,电子科学与工程学院（示范性微电子学院）,2018-06-01,2018,2019-07-31,咨询/外币结算,中国电子科技集团公司第十研究所,1.35,1.35,1.31068,财务通过，立项完成,直接立项,进行中
西南医科大学ESI分析,8173996,图书馆,2018-06-01,2018,2020-12-31,咨询/外币结算,西南医科大学,15.8,15.8,15.339806,财务通过，立项完成,直接立项,进行中
多阵元调零天线电性能指标仿真及分析,5224478,电子科学与工程学院（示范性微电子学院）,2018-06-01,2018,2019-12-31,技术开发,成都天奥信息科技有限公司,16,16,15.533981,财务通过，立项完成,直接立项,进行中
基于P波段合成孔径雷达的林下目标检测及其与BIOMASS组网的性能分析,7160627,资源与环境学院,2018-06-01,2018,2018-12-31,技术开发,上海卫星工程研究所,25,25,24.271844,财务通过，立项完成,直接立项,进行中
基于大数据的高速公路路网适应性分析研究,7140636,信息与软件工程学院（示范性软件学院）,2018-06-01,2018,2019-06-30,技术开发,四川省交通运输厅交通勘察设计研究院,20,20,19.417476,财务通过，立项完成,直接立项,进行中
分布多节点自组网通信方法研究,8186795,电子科学与工程学院（示范性微电子学院）,2018-06-01,2018,2019-05-31,技术开发,西北工业大学,12,12,11.650486,财务通过，立项完成,直接立项,进行中
S波段波束接收组件研制,6186852,电子科学与工程学院（示范性微电子学院）,2018-06-01,2018,2019-12-31,技术开发,西安空间无线电技术研究所,160,160,155.339806,财务通过，立项完成,直接立项,进行中
苦咸水开发利用的生态风险与生态阈值评估,7190669,资源与环境学院,2018-06-01,2018,2020-12-31,技术开发,中国科学院新疆生态与地理研究所,20,10,10,财务通过，立项完成,直接立项,进行中
一种XXX技术的国防知识产权咨询服务,5231090,电子科学与工程学院（示范性微电子学院）,2018-06-01,2018,2019-07-31,咨询/外币结算,中国电子科技集团公司第十研究所,3.6,3.6,3.495146,财务通过，立项完成,直接立项,进行中
MCT 技术开发,9190610,电子科学与工程学院（示范性微电子学院）,2018-06-01,2018,2019-06-01,技术开发,西安卫光科技有限公司,52,52,50.485437,财务通过，立项完成,直接立项,进行中
