项目名称,项目编号,负责人工号,承担单位,联合承担单位,立项时间,立项年度,计划完成日期,项目分类,项目子类,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
xxx分析在xxx中的应用,IFN2018224,7160622 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2018-12-31,实验室基金（校内）,国家级平台基金,10,0,0,学校通过,直接立项,进行中
***定向组网与协同编队关键技术研究,IFN2018218,7090807 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2018-12-31,实验室基金（校内）,国家级平台基金,10,0,0,学校通过,直接立项,进行中
欠采样XXX非线性校正关键技术研究,IFN2018210,7190646 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2018-12-31,实验室基金（校内）,国家级平台基金,10,0,0,学校通过,直接立项,进行中
xxx行波放大器研究,14ZS180117A,5231030 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2019-12-31,类别1,子类9,25,0,0,学校通过,直接立项,进行中
高频率带状注行波管***,2018kp005,5224730 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2018-12-31,平台项目,GF重点实验室基础科研费,100,0,0,学校通过,直接立项,进行中
5G终端功率放大器芯片模块研发,18ZDYF1065,7120723 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技支撑计划,30,0,0,学校通过,直接立项,进行中
5G终端功率放大器芯片模块研发,18ZDYF10655,7130687 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,30,0,0,学校通过,直接立项,进行中
5G终端功率放大器芯片模块研发,18ZDYF10655,7120723 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技支撑计划,30,0,0,学校通过,直接立项,进行中
机器学习在5G算法中的应用研究和验证,18ZA0226,7181726 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2018-12-31,四川省教育厅科技项目,四川省教育厅科技项目,0,0,0,学校通过,直接立项,进行中
生物医用镁合金表面Sr掺杂HA涂层的构建及腐蚀行为研究,18ZB0229,7150697 ,材料与能源学院,,2018-01-01,2018,2020-12-31,四川省教育厅科技项目,四川省教育厅科技项目,0,0,0,学校通过,直接立项,进行中
面向高阶调制信号的全光再生技术研究,18ZB0235,7160598 ,信息与通信工程学院,,2018-01-01,2018,2019-12-31,四川省教育厅科技项目,四川省教育厅科技项目,0,0,0,学校通过,直接立项,进行中
基于双稳态光致相变特性的太赫兹超结构动态调制机理研究,61771327,7080629 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,面上项目,19.2,0,0,学校通过,直接立项,进行中
高性能纳米磷酸铁锂材料产业化开发及示范,2018GZ0029,5224900 ,材料与能源学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,40,40,40,财务通过，立项完成,直接立项,进行中
5G无线通信安全技术通用测试平台建设,18PTDJ0045,7060745 ,航空航天学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,基础条件平台项目,30,30,30,财务通过，立项完成,直接立项,进行中
网络节点XXX跳变技术,1204200205B,7120723 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2020-12-30,类别1,子类2A,73.5,73.5,71.359223,财务通过，立项完成,直接立项,进行中
用于地层震电效应激励与震电信号测试的科学仪器研制,61727803,5222674 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2022-12-31,国家自然科学基金,国家重大科研仪器研制项目,735.6,588.48,588.48,财务通过，立项完成,直接立项,进行中
国产服务机器人智能控制与共享交换服务平台,2018GFW0032,7172706 ,机械与电气工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技服务业,5,5,5,财务通过，立项完成,直接立项,进行中
新能源汽车控制系统关键印制电路研发及成果转化项目,2018CKC038,7160710 ,材料与能源学院,,2018-01-01,2018,2020-12-31,四川省产学研项目,市厅级项目,10.5,10.5,10.5,财务通过，立项完成,直接立项,进行中
机动轨迹成像侦察与动目标监视技术,14YY190102B,5222308 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,类别1,子类4A,55,55,55,财务通过，立项完成,直接立项,进行中
基于光学相干层析成像（OCT）技术的脑胶质瘤浸润边界探测方法与系统的研究,2018SZ0043,5224763 ,光电科学与工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,8,8,8,财务通过，立项完成,直接立项,进行中
中医人工智能诊疗系统的开发研究,2018SZ0065,7070674 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,18,18,18,财务通过，立项完成,直接立项,进行中
四川省大宗商品智慧物流服务示范项目,2018GFW0150,7130600 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技服务业,20,20,20,财务通过，立项完成,直接立项,进行中
卫星VW频段******研究,13HT20180221B,7100602 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-06-30,类别6,子类7,100,95,95,财务通过，立项完成,直接立项,进行中
基于人工智能的跨平台中文知识图谱构建及应用,2018GZ0087,7150719 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,40,40,40,财务通过，立项完成,直接立项,进行中
基于超广角激光成像视网膜图像分析的眼底疾病智能检测技术开发与应用推广,2018-YF09-00051-SN,5230933 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2020-01-31,成都市科技项目,科技惠民计划项目,50,50,50,财务通过，立项完成,直接立项,进行中
xxx新技术,14YY180301A,5230775 ,信息与通信工程学院,中国电子科技集团公司第三十八研究所,2018-01-01,2018,2020-12-31,类别1,子类4,200,180,180,财务通过，立项完成,直接立项,进行中
基于***激光放大器研究,14JL182421B,7100719 ,光电科学与工程学院,,2018-01-01,2018,2019-12-31,类别1,子类7,30,30,30,财务通过，立项完成,直接立项,进行中
基于片上网络的状态监测数据采集关键技术,14YY190601A,5224969 ,自动化工程学院,,2018-01-01,2018,2019-12-31,类别1,子类4,50,45,45,财务通过，立项完成,直接立项,进行中
带有不规则耗散项的不可压缩流体力学系统的数学问题,11771045,7080655 ,数学科学学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,5,5,5,财务通过，立项完成,直接立项,进行中
ARF6调控VEGF/VEGFR2途径对早产儿视网膜病变的机制研究,81741100,4210595 ,医学院,,2018-01-01,2018,2018-12-31,国家自然科学基金,其他项目,20,20,20,财务通过，立项完成,直接立项,进行中
视网膜局部微环境稳态与神经性视觉损伤机制研究,81790642,7190625 ,医学院,,2018-01-01,2018,2022-12-31,国家自然科学基金,重大项目,30,15,15,财务通过，立项完成,直接立项,进行中
基于R15支持毫米波的5G终端基带芯片和射频芯片工程样片研发,2018ZX03001008-003,8176802 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2019-12-31,国家科技重大专项,课题,497.91,497.91,497.91,财务通过，立项完成,直接立项,进行中
社会智慧物流移动互联平台科技服务示范项目,2018GFW0198,7160608 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技服务业,50,50,48.543689,财务通过，立项完成,直接立项,进行中
XXXX材料及制备技术,63DH18404014,8200598 ,材料与能源学院,,2018-01-01,2018,2018-12-31,类别8,子类4（课题）,10,10,10,财务通过，立项完成,直接立项,进行中
******功率分析仪,A3YQ190041,7172705 ,自动化工程学院,,2018-01-01,2018,2020-12-31,类别A,子类3,348,296,296,财务通过，立项完成,直接立项,进行中
太赫兹科学军民融合协同创新平台培育,2017PT34,5221506 ,自动化工程学院,,2018-01-01,2018,2018-12-31,教育部科学事业费项目,平台类,120,120,115,财务通过，立项完成,直接立项,进行中
智慧物流服务与示范,2018GFW0128,5224094 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,其他,15,15,15,财务通过，立项完成,直接立项,进行中
智能化仓储装备研制开发应用示范,2018jxt010,7172706 ,机械与电气工程学院,,2018-01-01,2018,2019-12-31,四川省产学研项目,省部级项目,12.5,12.5,12.5,财务通过，立项完成,直接立项,进行中
基于研制数据及模型的民用行星滚柱丝杠设计与分析软件开发,zyf-2018-001,7190663 ,航空航天学院,,2018-01-01,2018,2020-12-31,四川省科技计划项目,其他,60,42,42,财务通过，立项完成,直接立项,进行中
室温太赫兹探测成像技术,2017CC0070,5225164 ,信息与通信工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,成果转化,40,20,20,财务通过，立项完成,直接立项,进行中
核电智能巡检服务机器人,2018GZ0144,7100745 ,机械与电气工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,100,100,100,财务通过，立项完成,直接立项,进行中
基于光纤激光退火新工艺的超薄高压VDMOS/IGBT研究的成果与转化,18ZHSF0117,5224631 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,四川省科技计划项目,成果转化,15,15,15,财务通过，立项完成,直接立项,进行中
四川健康医疗大数据应用创新工程项目,2018FGW005,7110755 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2020-12-31,国家发改委——CNGI,课题,300,300,300,财务通过，立项完成,直接立项,进行中
液晶微波移相器制造技术,zyf-2018-015,7140649 ,光电科学与工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,100,80,77.669903,财务通过，立项完成,直接立项,进行中
脑科学高场磁共振数据分析共享平台,18PTDJ0147*1,5230600 ,生命科学与技术学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,基础条件平台项目,30,30,30,财务通过,子项目,进行中
四川省绵阳市乙肝与结核病、凉山州布拖县艾滋病综合防治示范区规模化现场队列研究,2018ZX10715003,7070674 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2020-12-31,国家科技重大专项,参与课题,87.47,76.4,76.4,财务通过，立项完成,直接立项,进行中
落叶松基因组编辑技术平台构建及应用,2018ZX08020003003001,7080715 ,生命科学与技术学院,,2018-01-01,2018,2020-12-31,国家科技重大专项,参与课题,272,272,272,财务通过，立项完成,直接立项,进行中
自动驾驶中的视频语义理解技术,18ZDYF2964,5224094 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,20,20,20,财务通过，立项完成,直接立项,进行中
外辐射源成像技术研究,14SY180217A,7090810 ,综合电子系统技术教育部重点实验室(B类),,2018-01-01,2018,2019-12-31,类别1,子类9,35,35,33.980583,财务通过，立项完成,直接立项,进行中
紧凑***合成技术,2118H23201A,7090685 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2019-06-30,类别2,子类1,90,81,81,财务通过，立项完成,直接立项,进行中
XXX合成技术研究,2118H22441A,5230881 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2019-06-30,类别2,子类1,40,35,35,财务通过，立项完成,直接立项,进行中
面向XXXXX的基础问题,22JQ18420513,5230862 ,信息与通信工程学院,,2018-01-01,2018,2022-01-31,类别2,子类2 （课题）,150,105,105,财务通过，立项完成,直接立项,进行中
宽频带高性能的隐身天线罩设计,14SY1870817,9220684 ,物理学院,,2018-01-01,2018,2019-12-31,类别1,子类9,40,38.4,38.4,财务通过，立项完成,直接立项,进行中
基于肿瘤大数据的DRGs代码智能识别与规则挖掘,18ZDYF1011,7160608 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-30,四川省科技计划项目,重点研发计划,10,10,10,财务通过，立项完成,直接立项,进行中
多功能**一体化设计技术,62EP1840103,7140638 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2018-12-31,类别6,子类5,60,60,60,财务通过，立项完成,直接立项,进行中
山地灾害链预测预警平台建设,18ZDYF0329,7070699 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,四川省科技计划项目,重点研发计划,10,10,10,财务通过，立项完成,直接立项,进行中
***功能结构及工艺制备方法研究/**单元设计技术研究,22JQ173901B,7140638 ,电子科学与工程学院（示范性微电子学院）,江苏赛博空间科学技术有限公司,2018-01-01,2018,2022-12-31,类别2,子类2 （课题）,1050,629.99,630,财务通过，立项完成,直接立项,进行中
