项目名称,项目编号,负责人工号,承担单位,联合承担单位,立项时间,立项年度,计划完成日期,项目分类,项目子类,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
基于动态近似计算的近阈值数字电路设计技术研究,61874023,7110681 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.46,50.4,财务通过，立项完成,直接立项,进行中
硅基CMOS太赫兹低噪声放大器的增益提升理论与设计方法研究,61874022,7190641 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.55,50.4,财务通过，立项完成,直接立项,进行中
基于新型片上高压隔离技术的2.5kV低频高效率单芯片功率变压器,61874021,7130690 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.55,50.4,财务通过，立项完成,直接立项,进行中
深亚毫米波FinFET器件机理与模型研究,61874020,7110827 ,电子科学与工程学院（示范性微电子学院）,杭州电子科技大学,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.55,50.4,财务通过，立项完成,直接立项,进行中
复杂场景下体态深度识别系统架构及核心算法的研究,61872404,7130594 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,55.9,50.4,财务通过，立项完成,直接立项,进行中
远距离人脸识别中低质图像增强关键理论研究,61872068,7100830 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,64,56.66,51.2,财务通过，立项完成,直接立项,进行中
基于视频编码的计算摄像学研究,61872067,7171702 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,65,57.04,52,财务通过，立项完成,直接立项,进行中
时空大数据可视分析中信息混淆问题研究,61872066,7160730 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,65,54.95,52,财务通过，立项完成,直接立项,进行中
基于深度学习的长效推荐技术研究,61872065,5224675 ,信息与软件工程学院（示范性软件学院）,,2018-08-15,2018,2019-12-31,国家自然科学基金,面上项目,16,18,16,财务通过，立项完成,直接立项,进行中
融合自然语言处理的深度视觉理解关键技术研究,61872064,7160655 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,65,54.51,52,财务通过，立项完成,直接立项,进行中
基于扩展DNA甲基化数据的癌症标志物挖掘研究,61872063,5230961 ,自动化工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,66,58.28,52.8,财务通过，立项完成,直接立项,进行中
点过程在用户行为建模中的研究及应用,61872062,7171704 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,64,54.05,51.2,财务通过，立项完成,直接立项,进行中
无源感知和计算系统能量理论和关键技术研究,61872061,7110775 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,64,54.4,51.2,财务通过，立项完成,直接立项,进行中
云存储中加密数据的安全去重方法研究,61872060,7060705 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.32,50.4,财务通过，立项完成,直接立项,进行中
5G网络中基于信道预编码的物理层多消息认证协议研究,61872059,7190601 ,信息与软件工程学院（示范性软件学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,65,57.9,52,财务通过，立项完成,直接立项,进行中
密码逆向防火墙研究,61872058,7090648 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2019-12-31,国家自然科学基金,面上项目,16,16,16,财务通过，立项完成,直接立项,进行中
面向智能合约的并行随机超级优化及运行时窥孔优化方法,61872057,7160630 ,计算机科学与工程学院（网络空间安全学院）,香港理工大学深圳研究院,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,64,54.4,51.2,财务通过，立项完成,直接立项,进行中
基于全脑皮层网络模型的周期性刺激响应机制研究,61871423,9180888 ,生命科学与技术学院,,2018-08-15,2018,2019-12-31,国家自然科学基金,面上项目,16,16,16,财务通过，立项完成,直接立项,进行中
卫星隐蔽信号波形设计理论与方法研究,61871422,5230840 ,通信抗干扰技术国家级重点实验室,西南民族大学,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,65,55.25,52,财务通过，立项完成,直接立项,进行中
面向宽带信号的新型贝叶斯稀疏重构理论与方法研究,61871421,7130622 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,61,54.5,48.8,财务通过，立项完成,直接立项,进行中
儿童弱视单眼遮盖治疗的脑可塑性多模态脑影像研究,61871420,7190681 ,生命科学与技术学院,四川大学,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.06,50.4,财务通过，立项完成,直接立项,进行中
太赫兹快速重构超表面孔径数字波束合成机理及器件研究,61871419,5225139 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,67,56.95,53.6,财务通过，立项完成,直接立项,进行中
大脑神经回路间信息传递的拓扑几何学功能磁共振成像研究：以选择性视觉注意为应用载体,61871105,7171729 ,生命科学与技术学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.55,50.4,财务通过，立项完成,直接立项,进行中
基于无线传感器网络的GNSS干扰信号分布式定位和跟踪理论研究,61871104,7110605 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,60,53.6,48,财务通过，立项完成,直接立项,进行中
利用多径的雷达低空小目标检测与跟踪方法研究,61871103,5223986 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.36,50.4,财务通过，立项完成,直接立项,进行中
知识辅助的天波雷达信号处理理论与算法研究,61871102,7090829 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,66,59.1,52.8,财务通过，立项完成,直接立项,进行中
大型相控阵的稀疏化理论及其子阵设计,61871101,5223454 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.55,50.4,财务通过，立项完成,直接立项,进行中
基于混合域测量建模的互连过孔等效电路与特性研究,61871100,7080604 ,自动化工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,56.7,50.4,财务通过，立项完成,直接立项,进行中
基于SDN/NFV的网络功能并行化机制,61871099,5223705 ,通信抗干扰技术国家级重点实验室,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.55,50.4,财务通过，立项完成,直接立项,进行中
石英晶体微天平（QCM)质量灵敏度的关键技术研究,61871098,5230599 ,自动化工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,66,58.72,52.8,财务通过，立项完成,直接立项,进行中
面向超宽粒度异构网络的网络功能虚拟化研究,61871097,7150713 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,56.26,50.4,财务通过，立项完成,直接立项,进行中
基于细粒度波束成形的空基平台毫米波全双工通信关键技术研究,61871096,7190637 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,52,46.8,41.6,财务通过，立项完成,直接立项,进行中
基于超构材料的扩展互作用速调管的研究,61871095,7060742 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,67,56.75,53.6,财务通过，立项完成,直接立项,进行中
基于模式组合与降阶原理的径向功率合成理论及方法研究,61871094,7090631 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2019-12-31,国家自然科学基金,面上项目,16,16,16,财务通过，立项完成,直接立项,进行中
超薄屏幕定向扬声器理论及关键技术研究,61871093,5221047 ,航空航天学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,67,56.95,53.6,财务通过，立项完成,直接立项,进行中
基于信息几何的频控阵雷达探测机理与参数优化设计研究,61871092,5230604 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,56.4,50.4,财务通过，立项完成,直接立项,进行中
基于多天线的新型压缩采样理论和方法研究,61871091,7120705 ,通信抗干扰技术国家级重点实验室,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,66,55.85,52.8,财务通过，立项完成,直接立项,进行中
频率选择表面天线罩电磁散射特性的高效精确建模,61871090,5222403 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.13,50.4,财务通过，立项完成,直接立项,进行中
软件定义任意波形合成技术关键问题研究,61871089,7090681 ,自动化工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,56.7,50.4,财务通过，立项完成,直接立项,进行中
高口径利用率多频段高隔离度共口径天线阵研究,61871088,7120598 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,67,56.95,53.6,财务通过，立项完成,直接立项,进行中
基于域自适应学习的图像深度协同分割方法研究,61871087,7160734 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,65,56.1,52,财务通过，立项完成,直接立项,进行中
基于液晶材料的宽带平面反射阵波束扫描机理研究,61871086,7160597 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,66,59.4,52.8,财务通过，立项完成,直接立项,进行中
基于共形阵列的和差波束测向算法研究,61871085,7140627 ,信息与通信工程学院,,2018-08-15,2018,2019-12-31,国家自然科学基金,面上项目,16,19.2,16,财务通过，立项完成,直接立项,进行中
基于飞秒光梳的远距离高精度自由空间时频同步技术研究,61871084,7182796 ,自动化工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,56.2,50.4,财务通过，立项完成,直接立项,进行中
VHF脉冲热声成像技术研究,61871083,5224980 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,67,56.74,53.6,财务通过，立项完成,直接立项,进行中
面向城域网数据中心互联的高速直接探测光纤传输系统关键技术研究,61871082,7090695 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,56,50.4,财务通过，立项完成,直接立项,进行中
面向甚高频片上功率电源的磁芯膜功率电感研究,61871081,7100846 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.55,50.4,财务通过，立项完成,直接立项,进行中
穿墙雷达人体行为识别理论与技术,61871080,7060594 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,67,60,53.6,财务通过，立项完成,直接立项,进行中
复杂地海环境与目标复合散射建模新方法研究,61871079,7140600 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,52.83,50.4,财务通过，立项完成,直接立项,进行中
基于深度学习的癫痫多模态脑影像分类研究,61871077,7171733 ,生命科学与技术学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.1,50.4,财务通过，立项完成,直接立项,进行中
基于中继的数能一体化网络部署及资源分配算法研究,61871076,7090600 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,56.16,50.4,财务通过，立项完成,直接立项,进行中
基于功率编码的射频微波数字功率转换研究,61871075,5222777 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.55,50.4,财务通过，立项完成,直接立项,进行中
基于弱监督深度学习的自由视点运动目标检测研究,61871074,7130675 ,自动化工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,61,54,48.8,财务通过，立项完成,直接立项,进行中
基于数字辅助技术的可重构射频接收技术,61871073,7160745 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,62,33.97,8.084308,财务通过，立项完成,直接立项,进行中
太赫兹InP异质结双极型晶体管特殊物理效应及精细模型研究,61871072,7060610 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.55,50.4,财务通过，立项完成,直接立项,进行中
基于纳米磁-电介质超材料的小型化宽带脉冲辐射天线研究,61871071,7070708 ,物理学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,67,56.95,53.6,财务通过，立项完成,直接立项,进行中
毫米波无线网络中继探测和选择方法研究,61871070,5231043 ,通信抗干扰技术国家级重点实验室,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,67,56.95,53.6,财务通过，立项完成,直接立项,进行中
图像大数据记忆迁移分析方法与应用,61831005,7100672 ,信息与通信工程学院,,2018-08-15,2018,2023-12-31,国家自然科学基金,重点项目,277,238.16,221.6,财务通过，立项完成,直接立项,进行中
硬件性能受限下室外毫米波大规模MIMO关键技术研究,61831004,7090673 ,通信抗干扰技术国家级重点实验室,"四川大学,浙江大学",2018-08-15,2018,2023-12-31,国家自然科学基金,重点项目,281,236.04,224.8,财务通过，立项完成,直接立项,进行中
敏感薄膜与传感器技术研究,61822106,7110599 ,光电科学与工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,优秀青年科学基金项目,130,136.6,130,财务通过，立项完成,直接立项,进行中
面向盲人回声定位的回声建模与信号处理方法研究,61806046,7100650 ,信息与通信工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,27,30.56,27,财务通过，立项完成,直接立项,进行中
复杂结构数据的相似度学习及其应用研究,61806045,7190649 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,27.71,26,财务通过，立项完成,直接立项,进行中
面向流式数据的在线自步多任务特征学习研究,61806044,8190635 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,26,26,财务通过，立项完成,直接立项,进行中
基于自步学习的多任务聚类算法研究,61806043,7172703 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,27.53,26,财务通过，立项完成,直接立项,进行中
失语症康复治疗前后脑可塑性的多模态磁共振研究,61806042,4180733 ,生命科学与技术学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,24,25.35,24,财务通过，立项完成,直接立项,进行中
基于视网膜机制的计算模型及其在复杂图像处理的应用研究,61806041,8190627 ,生命科学与技术学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,23,24.22,23,财务通过，立项完成,直接立项,进行中
基于异构域适配的欠标注场景迁移学习研究,61806039,9190718 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,27,28.67,27,财务通过，立项完成,直接立项,进行中
采用新颖的两性共轭小分子材料作为阴极界面修饰层来提升聚合物和钙钛矿太阳能电池的性能,61805034,7181719 ,光电科学与工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,27,28.78,27,财务通过，立项完成,直接立项,进行中
基于数据驱动的功率IGBT模块状态监测新方法研究,61804025,7160626 ,自动化工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,24,26.74,24,财务通过，立项完成,直接立项,进行中
硅基场效应管毫米波噪声机理和幅相特性研究及电路验证,61804024,7200606 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,24,25.58,24,财务通过，立项完成,直接立项,进行中
基于电荷等离子体的不掺杂隧穿场效应晶体管的物理机理与解析模型研究,61804022,7160736 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,24,25.58,24,财务通过，立项完成,直接立项,进行中
基于优化理论的多机器人在未知复杂环境的分布式探索与覆盖研究,61803075,7190663 ,航空航天学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.13,25,财务通过，立项完成,直接立项,进行中
基于Tobit回归模型的偏差多速率系统估计问题研究,61803074,9190645 ,自动化工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,29.42,26,财务通过，立项完成,直接立项,进行中
大规模并行分布式仿真多域一致性协同演化机制及仿真评估方法,61803073,9190598 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.65,25,财务通过，立项完成,直接立项,进行中
使用语义词汇提高智慧交通参与者的参与体验,61802054,7182803 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,27,28.58,27,财务通过，立项完成,直接立项,进行中
面向多核处理器的实时锁协议与实时调度算法研究,61802052,9190608 ,信息与软件工程学院（示范性软件学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,29.42,26,财务通过，立项完成,直接立项,进行中
基于智能设备的精确健康监测关键技术研究,61802051,7190650 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.58,25,财务通过，立项完成,直接立项,进行中
物联网感知数据隐私保护关键技术研究,61802050,7200609 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.65,25,财务通过，立项完成,直接立项,进行中
若干最大松弛团问题的启发式和精确求解算法研究,61802049,7190651 ,计算机科学与工程学院（网络空间安全学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.45,25,财务通过，立项完成,直接立项,进行中
负群时延电路及三维可重构负电容理论和关键技术研究,61801103,9200617 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,24,25.58,24,财务通过，立项完成,直接立项,进行中
认知物联网中短包通信资源分配优化理论与技术研究,61801101,9190723 ,通信抗干扰技术国家级重点实验室,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,23.5,25.05,23.5,财务通过，立项完成,直接立项,进行中
低形变高谐振耦合增强太赫兹波吸收效应与机理的研究,61801100,8190598 ,光电科学与工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,23,24.45,23,财务通过，立项完成,直接立项,进行中
基于北斗卫星辐射源的被动雷达海面运动目标检测方法,61801099,7200605 ,信息与通信工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,29.42,26,财务通过，立项完成,直接立项,进行中
基于注意力深度网络的SAR目标检测识别一体化方法,61801098,7172725 ,信息与通信工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,29.22,26,财务通过，立项完成,直接立项,进行中
用于复杂多尺度电磁问题的新型非共形积分方程方法研究,61801097,7070644 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,27.49,26,财务通过，立项完成,直接立项,进行中
基于余数系统低PAPR的并行信号处理研究,61801096,7080709 ,信息与通信工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,29,26,财务通过，立项完成,直接立项,进行中
面向运动治疗的人体运动过程心率反应控制方法研究,61801094,7160620 ,航空航天学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,27.49,26,财务通过，立项完成,直接立项,进行中
参数化多小波的构造方法及其在NOMA系统中的应用,61801093,7100729 ,航空航天学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.12,25,财务通过，立项完成,直接立项,进行中
基于数字带宽交替的40GSPS超宽带数据采集研究,61801092,7172795 ,自动化工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,29.22,26,财务通过，立项完成,直接立项,进行中
HTS薄膜微波Jc与频率依赖关系的微桥谐振器测量方法研究,61801091,8190597 ,光电科学与工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,27.71,26,财务通过，立项完成,直接立项,进行中
海面舰船广义雷达散射理论分析与高效建模技术研究,61801090,7182722 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,27.58,26,财务通过，立项完成,直接立项,进行中
基于微波和毫米波的近场合成孔径雷达（SAR）压缩感知成像关键技术,61801089,8186799 ,自动化工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,29.42,26,财务通过，立项完成,直接立项,进行中
印制型毫米波微带曲折线行波管关键问题的研究,61801088,8176804 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,28,29.78,28,财务通过，立项完成,直接立项,进行中
超导与半导体集成电路高速互联接口技术研究,61801087,7172798 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.65,25,财务通过，立项完成,直接立项,进行中
基于长时间相参积累的高速高机动目标检测算法研究,61801085,7220597 ,信息与通信工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,28.3,25,财务通过，立项完成,直接立项,进行中
脉冲噪声下的稀疏重建与低秩逼近算法研究,61801084,8230627 ,通信抗干扰技术国家级重点实验室,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.65,25,财务通过，立项完成,直接立项,进行中
脉冲噪声下基于贝叶斯学习的水声多用户通信,61801083,9190668 ,通信抗干扰技术国家级重点实验室,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,22.5,23.98,22.5,财务通过，立项完成,直接立项,进行中
基于深度学习的智能频谱认知技术研究,61801082,9190744 ,通信抗干扰技术国家级重点实验室,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,21.5,22.91,21.5,财务通过，立项完成,直接立项,进行中
发射极注入增强型IGBT快速关断机理与新结构,51877030,7100624 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53.55,50.4,财务通过，立项完成,直接立项,进行中
面向核电极端环境的光纤分布式珐-珀声波传感技术研究,51875091,7060730 ,信息与通信工程学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,60,53.44,48,财务通过，立项完成,直接立项,进行中
用于相控阵雷达的自偏置六角铁氧体材料研究,51872041,5224251 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,60,50.75,48,财务通过，立项完成,直接立项,进行中
高效率MOCVD制备高温超导膜研究,51872040,5223379 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,60,51,48,财务通过，立项完成,直接立项,进行中
基于MoS2/CrI3磁性二维材料异质结界面电子自旋调控及输运特性研究,51872039,7171697 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,60,50.4,48,财务通过，立项完成,直接立项,进行中
多相共存二氧化钒超结构薄膜的制备与性能研究,51872038,7130670 ,材料与能源学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,60,50.7,48,财务通过，立项完成,直接立项,进行中
P-V-L理论及晶格振动模式在ZnO-Nb2O5-TiO2系微波介质陶瓷相变演化及性能调控中的应用基础研究,51872037,7120701 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,60,50.83,48,财务通过，立项完成,直接立项,进行中
复杂电网环境下并联有源滤器的补偿失效机理分析及谐波阻抗定制,51807021,7140673 ,自动化工程学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,29.3,26,财务通过，立项完成,直接立项,进行中
腈基树脂/碳纤维微纳结构自增容复合材料的制备及其界面特性研究,51803020,8186797 ,材料与能源学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.65,25,财务通过，立项完成,直接立项,进行中
多功能复合涂层在典型环境中老化失效行为与规律研究,51802037,8190638 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.65,25,财务通过，立项完成,直接立项,进行中
非均匀传质/吸附协同构建高频低损耗铜互连图形的研究,51801018,7172728 ,材料与能源学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,27.71,26,财务通过，立项完成,直接立项,进行中
多模态多层次混合的场景数据高效组织索引方法,41871321,7100760 ,资源与环境学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,58,52.2,46.4,财务通过，立项完成,直接立项,进行中
地基与机载激光雷达协同的阔叶林聚集度指数反演,41871247,7090744 ,资源与环境学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,60,53.7,48,财务通过，立项完成,直接立项,进行中
多源遥感协同下的全天候地表温度反演方法,41871241,7120649 ,资源与环境学院,北京师范大学,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,70.88,53.0435,48,财务通过，立项完成,直接立项,进行中
基于学习字典的FAVO衰减参数反演方法研究,41804126,7182718 ,资源与环境学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,24,26.9,24,财务通过，立项完成,直接立项,进行中
基于新一代静止气象卫星数据的植被冠层可燃物含水率反演方法,41801272,7190662 ,资源与环境学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,27.94,25,财务通过，立项完成,直接立项,进行中
微生物必需基因集与联合致死基因集的理论分析与识别研究,31871335,7080595 ,生命科学与技术学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,59,49.6,47.2,财务通过，立项完成,直接立项,进行中
抑郁障碍早期治疗反应的神经标记及其性别效应,31800961,9200626 ,生命科学与技术学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,27,28.68,27,财务通过，立项完成,直接立项,进行中
基于近红外光响应水凝胶的仿生ECM动态微环境的构建及其调控骨髓间充质干细胞骨向分化研究,31800798,9190702 ,基础与前沿研究院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,26,26,财务通过，立项完成,直接立项,进行中
小窝蛋白-1通过影响细胞能量策略和力学性质调控癌细胞迁移机制研究,31800780,9190670 ,生命科学与技术学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,27.71,26,财务通过，立项完成,直接立项,进行中
利用分子动力学模拟揭示膜蛋白体系在电喷雾电离过程中的行为机理,31800616,7190673 ,生命科学与技术学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.29,25,财务通过，立项完成,直接立项,进行中
基于钙钛矿型氮氧化物BaTaO2N的高效光电催化水分解光阳极的开发,21872019,7181709 ,基础与前沿研究院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,66,56.1,52.8,财务通过，立项完成,直接立项,进行中
"含吲哚[3,2-b]咔唑的侧链型磺化聚芳醚质子交换膜的结构设计及其构效关系研究",21805027,7172699 ,材料与能源学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.65,25,财务通过，立项完成,直接立项,进行中
具有特殊传输特性的结构光束和电子束的构造及实现研究,11874102,7100694 ,物理学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,64,54.4,51.2,财务通过，立项完成,直接立项,进行中
过渡金属硫化物表面和纳米团簇的析氢构效关系研究及性能调控,11874005,7181727 ,基础与前沿研究院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,64,54,51.2,财务通过，立项完成,直接立项,进行中
